playerID,career_war
ruthba01,182.6
johnswa01,167.8
youngcy01,163.6
bondsba01,162.8
mayswi01,156.1
cobbty01,151.4
aaronha01,143.2
clemero02,139.2
speaktr01,134.9
wagneho01,131.0
musiast01,128.6
hornsro01,127.1
collied03,124.3
willite01,121.8
alexape01,119.7
rodrial01,117.4
nichoki01,116.3
gehrilo01,113.7
henderi01,111.2
ottme01,111.0
mantlmi01,110.2
seaveto01,109.9
robinfr02,107.3
lajoina01,106.9
schmimi01,106.9
grovele01,106.8
mathech01,106.7
maddugr01,106.6
pujolal01,101.2
johnsra05,101.1
morgajo02,100.6
spahnwa01,100.1
yastrca01,96.5
matheed01,96.0
niekrph01,95.9
ripkeca01,95.9
clemero01,94.9
blylebe01,94.5
ansonca01,94.3
foxxji01,92.9
kalinal01,92.7
boggswa01,91.4
planked01,91.2
carltst01,90.2
perryga01,90.0
gibsobo02,89.1
brettge01,88.6
keefeti01,86.9
troutmi01,86.4
roberro01,86.2
jonesch06,85.3
gehrich01,84.8
davisge02,84.5
connoro01,84.3
jenkife01,84.1
martipe03,83.9
griffke02,83.8
clarkjo01,83.2
mussimi01,82.8
ryanno01,81.3
carewro01,81.2
glavito02,80.7
verlaju01,80.3
bagweje01,79.9
kershcl01,79.6
rosepe02,79.6
schilcu01,79.5
dimagjo01,79.1
broutda01,78.7
robinbr01,78.3
vaughar01,77.9
greinza01,77.4
yountro01,77.4
applilu01,77.2
smithoz01,76.9
wallabo01,76.4
mccorji02,76.2
molitpa01,75.7
crawfsa02,75.4
radboch01,75.4
dahlebi01,75.3
scherma01,75.3
benchjo01,75.1
whitalo01,75.1
wanerpa01,74.7
jacksre01,74.0
thomafr04,73.8
galvipu01,73.4
thomeji01,73.1
bettsmo01,72.8
walkela01,72.7
heilmha01,72.2
friscfr01,72.0
palmera01,71.9
jeterde01,71.3
grichbo01,71.0
lyonste01,70.7
trammal01,70.6
larkiba01,70.5
mizejo01,70.5
santoro01,70.5
cartega01,70.1
rolensc01,70.1
delahed01,69.6
reuscri01,69.5
raineti02,69.4
ramirma02,69.3
gwynnto02,69.1
smoltjo01,69.0
murraed02,68.7
ruffire01,68.6
hubbeca01,68.5
palmeji01,68.5
simmoal01,68.5
fiskca01,68.4
loftoke01,68.4
reesepe01,68.4
clarkfr01,68.0
nettlgr01,67.9
sandbry01,67.9
brownke04,67.8
bankser01,67.7
cabremi01,67.2
evansdw01,67.2
drysddo01,67.1
alomaro01,67.0
suttodo01,66.7
mullato01,66.6
walshed02,66.5
bellbu01,66.3
tiantlu02,66.1
gosligo01,65.9
randowi01,65.9
snidedu01,65.9
rusieam01,65.8
biggicr01,65.4
cronijo01,64.8
dawsoan01,64.8
smithre06,64.6
utleych01,64.6
mccovwi01,64.5
ashburi01,64.3
hallaro01,64.2
winfida01,64.2
goldspa01,64.1
robinja02,63.9
faberre01,63.8
griffcl01,63.8
vottojo01,63.6
willibi02,63.6
fellebo01,63.4
hamilbi02,63.2
willivi01,63.2
boudrlo01,63.1
bakerfr01,62.8
boyerke01,62.8
maricju01,62.8
newhoha01,62.8
freemfr01,62.7
jonesan01,62.7
coneda01,62.3
sabatcc01,62.3
wardjo03,62.3
welchmi01,62.3
jacksjo01,62.2
mcgwima01,62.2
eckerde01,62.1
covelst01,61.9
heltoto01,61.8
glassja01,61.6
johnto01,61.6
bandosa01,61.5
roganbu99,61.3
becklja01,61.2
bondto01,60.9
wynnea01,60.9
daviswi03,60.8
buffich01,60.7
sheffga01,60.5
edmonji01,60.4
killeha01,60.4
machama01,60.4
vanceda01,60.4
wheatza01,60.4
hernake01,60.3
abreubo01,60.2
pettian01,60.2
spaldal01,60.2
ferrewe01,60.1
suzukic01,60.0
burkeje01,59.7
berrayo01,59.5
carutbo01,59.5
guerrvl02,59.5
piazzmi01,59.5
bunniji01,59.4
mageesh01,59.4
buehrma01,59.0
cicoted01,59.0
hamelco01,59.0
mcginjo01,59.0
shockur01,59.0
longoev01,58.9
saberbr01,58.9
allendi01,58.7
evansda01,58.7
quinnja01,58.6
sosasa01,58.6
wadderu01,58.4
judgeaa01,58.3
olerujo01,58.1
brownmo01,58.0
bondsbo01,57.9
finlech01,57.9
hudsoti01,57.9
arenano01,57.7
hermabi01,57.6
stargwi01,57.6
torrejo01,57.6
slaugen01,57.5
sislege01,57.2
tananfr01,57.1
fordwh01,57.0
dobyla01,56.7
clarkwi02,56.5
terrybi01,56.5
dickebi01,56.4
stiebda01,56.4
damonjo01,56.3
riverma01,56.3
venturo01,56.1
hershor01,56.0
whitnji01,56.0
rixeyep01,55.9
wynnji01,55.9
aparilu01,55.8
johnsbo05,55.7
lemonch01,55.7
salech01,55.7
careyma01,55.6
gordojo01,55.6
greenha01,55.6
mauerjo01,55.6
uhlege01,55.6
hartnga01,55.5
kentje01,55.5
mathebo01,55.4
powelja02,55.3
hackst01,55.2
ortizda01,55.0
seweljo01,54.9
appieke01,54.5
medwijo01,54.5
ricesa01,54.4
keelewi01,54.3
pinsova01,54.0
kinslia01,53.8
ceyro01,53.7
koosmje01,53.7
hoopeha01,53.6
waltebu01,53.6
coopewi01,53.4
piercbi02,53.4
wellsda01,53.4
colliji01,53.3
tinkejo01,53.2
clarkja01,53.1
campabe01,53.0
goodedw01,53.0
grimebu01,52.9
altuvjo01,52.7
flickel01,52.7
adamsba01,52.6
mcgrifr01,52.6
mcphebi01,52.5
harpebr03,52.4
hoytwa01,52.4
lindofr01,52.3
orourji01,52.3
cashno01,52.0
jacksla01,52.0
berkmla01,51.9
pedrodu01,51.9
santajo01,51.7
averiea02,51.6
gonzalu03,51.6
downibr01,51.5
harrato01,51.4
doerrbo01,51.3
maysca01,51.3
orthal01,51.3
gilesbr02,51.1
puckeki01,51.1
elliobo01,50.9
phillto02,50.9
breitte01,50.6
hunteto01,50.6
giambja01,50.5
kaatji01,50.5
rogerke01,50.5
teixema01,50.5
bridgto01,50.4
kellejo01,50.4
kingsi01,50.4
simmote01,50.4
lynnfr01,50.2
cepedor01,50.1
langsma01,50.1
oswalro01,50.0
woodwi01,50.0
bancrda01,49.9
troutdi01,49.9
burksel01,49.8
cochrmi01,49.8
moyerja01,49.8
rommeed01,49.8
butlebr01,49.7
mccutan01,49.6
willibe02,49.6
sheckji01,49.5
steartu99,49.5
wellswi99,49.5
foxne01,49.3
wrighda03,49.1
leonadu02,49.0
keyji01,48.9
koufasa01,48.9
fregoji01,48.7
stiveja01,48.5
whitedo01,48.5
myerbu01,48.4
gardnla01,48.3
grohhe01,48.3
lemonbo01,48.2
luquedo01,48.2
manushe01,48.2
charlos99,48.1
cuyleki01,48.1
kinerra01,48.1
veachbo01,48.1
degroja01,48.0
lolicmi01,48.0
schanwa01,48.0
ewingbu02,47.9
judgejo01,47.9
rolliji01,47.9
bendech01,47.8
guidrro01,47.8
newsobo01,47.8
eversjo01,47.7
koneted01,47.7
riceji01,47.7
lazzeto01,47.6
ohtansh01,47.6
ruckena01,47.6
grandcu01,47.4
semiema01,47.3
whitede03,47.3
braunry02,47.2
fletcar01,47.1
leachto01,47.1
mullige01,47.1
shawkbo01,47.1
tejadmi01,47.1
fostebi99,47.0
tanneje01,47.0
violafr01,47.0
paigesa01,46.9
vaughhi01,46.9
donaljo02,46.8
tenacge01,46.8
whitero01,46.8
wilheho01,46.8
camermi01,46.7
kleinch01,46.7
willima06,46.6
crossla01,46.5
murphda05,46.5
gracema01,46.4
stephve01,46.3
deandi01,46.2
dicksmu01,46.2
wilsowi02,46.1
chancfr01,46.0
kellyki01,46.0
munsoth01,46.0
roushed01,45.8
staubru01,45.8
warnelo01,45.8
mcgrajo02,45.7
prattde01,45.7
galanau01,45.6
vizquom01,45.6
peckiro01,45.5
whitede01,45.5
frencla01,45.4
brocklo01,45.3
jossad01,45.3
radkebr01,45.3
wainwad01,45.3
bluevi01,45.1
doylela01,45.1
passecl01,45.1
combsea01,45.0
pennohe01,45.0
poseybu01,45.0
stantmi03,45.0
stoveha01,45.0
walkedi02,45.0
colavro01,44.9
drewjd01,44.9
hinespa01,44.9
schoere01,44.9
donovbi02,44.8
freehbi01,44.8
tulowtr01,44.8
gilliji01,44.7
lucasre01,44.7
rogerst01,44.7
zobribe01,44.7
freylo01,44.6
hahnno01,44.6
knoblch01,44.6
childcu01,44.4
delgaca01,44.4
hollima01,44.4
thompsa03,44.4
correca01,44.3
garcino01,44.3
gardnbr01,44.3
hardeme01,44.3
finlest01,44.2
fostege01,44.2
jackstr01,44.2
darkal01,43.9
maranra01,43.9
zambrca01,43.9
hodgegi01,43.8
pappami01,43.8
ryanji01,43.8
tennefr02,43.8
welchbo01,43.7
francju01,43.6
kellech01,43.6
oliveal01,43.6
morrija02,43.5
jonesfi01,43.4
lestejo01,43.4
yelicch01,43.4
simmocu01,43.3
camildo01,43.2
colege01,43.2
leecl02,43.2
duffyhu01,43.1
garvene01,43.1
